Identifier,Full name,ID number,Email address,Status,Grade,Maximum Grade,Grade can be changed,Last modified (grade),Feedback comments
Participant 601725,Maryann Steele,81304376,maryann.steele@my.uwi.edu,,,100.00,Yes,-,
Participant 601701,Lorene Craig,81304445,lorene.craig@my.uwi.edu,,,100.00,Yes,-,
Participant 601683,Beth Morales-Horton,81305512,beth.moraleshorton@my.uwi.edu,,,100.00,Yes,-,
Participant 601677,Shane Taylor,81309001,shane.taylor@my.uwi.edu,,,100.00,Yes,"Thursday, 26 November 2020, 12:18 AM",
Participant 601732,Meghan Powers,81311932,meghan.powers@my.uwi.edu,,,100.00,Yes,"Tuesday, 1 December 2020, 12:24 PM",
Participant 601705,Jeremy Mc Laughlin,81317964,jeremy.mclaughlin@my.uwi.edu,,,100.00,Yes,"Wednesday, 25 November 2020, 7:58 PM",
Participant 601722,Winifred Bowers,81318118,winifred.bowers@my.uwi.edu,,,100.00,Yes,"Saturday, 28 November 2020, 12:32 AM",
Participant 601684,Salvador Bates,81321343,salvador.bates@my.uwi.edu,,,100.00,Yes,"Thursday, 26 November 2020, 4:17 PM",
Participant 601707,Simon Hawkins,81324138,simon.hawkins@my.uwi.edu,,,100.00,Yes,"Wednesday, 2 December 2020, 3:44 PM",
Participant 601697,Lynn Simon,81330472,lynn.simon@my.uwi.edu,,,100.00,Yes,"Thursday, 3 December 2020, 1:27 PM",
Participant 601698,Lynn Peterson,81331684,lynn.peterson@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601700,Josephine Hodges,81333104,josephine.hodges@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601673,Irving Fitzgerald,81333304,irving.fitzgerald@my.uwi.edu,,,100.00,Yes,"Friday, 4 December 2020, 10:58 AM",
Participant 601674,Kelley Fernandez,81335972,kelley.fernandez@my.uwi.edu,,,100.00,Yes,"Friday, 4 December 2020, 9:39 AM",
Participant 601695,Ivan Hale,81338465,ivan.hale1@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601729,Lynette Arnold,81343013,lynette.arnold@my.uwi.edu,,,100.00,Yes,-,
Participant 601721,Rodolfo Wallace,81343226,rodolfo.wallace@my.uwi.edu,,,100.00,Yes,"Wednesday, 2 December 2020, 9:04 AM",
Participant 601728,Jan Garcia,81343401,jan.garcia@my.uwi.edu,,,100.00,Yes,-,
Participant 601712,Dennis La Pratt,81343739,dennis.lapratt@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601692,Rolando Ross,81344974,rolando.ross@my.uwi.edu,,,100.00,Yes,"Thursday, 3 December 2020, 9:28 AM",
Participant 601720,Gloria Harmon,81346689,gloria.harmon@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601694,Drew Jenkins,81346832,drew.jenkins@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601703,Lisa Little,81346944,lisa.little@my.uwi.edu,,,100.00,Yes,-,
Participant 601706,Darrell Rufus Porter,81348493,darrellrufus.porter@my.uwi.edu,,,100.00,Yes,-,
Participant 601717,Ernest Hamilton,81352912,ernest.hamilton@my.uwi.edu,,,100.00,Yes,"Friday, 27 November 2020, 8:14 PM",
Participant 601734,Rosemarie Dean,81353597,rosemarie.dean@my.uwi.edu,,,100.00,Yes,"Friday, 27 November 2020, 4:13 PM",
Participant 601708,Todd Ramsey,81357275,todd.ramsey@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601738,Theresa Burns,81358018,theresa.burns@my.uwi.edu,,,100.00,Yes,"Friday, 27 November 2020, 9:10 PM",
Participant 601675,Genevieve Boone,81362902,genevieve.boone@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601730,Inez  Jones,81364896,inez .jones@my.uwi.edu,,,100.00,Yes,-,
Participant 601710,Myron Santiago,81365740,myron.santiago@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601696,Maurice Jr Dennis,81369239,mauricejr.dennis@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601736,Stella Armstrong,81370010,stella.armstrong@my.uwi.edu,,,100.00,Yes,"Thursday, 3 December 2020, 1:00 PM",
Participant 601724,Laurence Rodriguez,81370818,laurence.rodriguez@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601699,Traci Wells,81370943,traci.wells@my.uwi.edu,,,100.00,Yes,"Thursday, 3 December 2020, 1:08 PM",
Participant 601719,Jackie Schneider,81371080,jackie.schneider@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
Participant 601679,Franklin Colon,81372983,franklin.colon@my.uwi.edu,,,100.00,Yes,"Wednesday, 2 December 2020, 3:52 PM",
Participant 601716,Ramona Farmer-Moore,81377667,ramona.farmermoore@my.uwi.edu,,,100.00,Yes,"Wednesday, 25 November 2020, 3:38 PM",
Participant 601691,Lauren Parker,81378179,lauren.parker@my.uwi.edu,,,100.00,Yes,"Saturday, 28 November 2020, 6:38 AM",
Participant 601702,Guadalupe De La Vega,81378665,guadalupe.delavega@my.uwi.edu,,,100.00,Yes,"Saturday, 28 November 2020, 4:07 AM",
Participant 601680,Clifton Bowen,81380485,clifton.bowen@my.uwi.edu,,,100.00,Yes,"Friday, 27 November 2020, 3:42 AM",
Participant 601711,Marilyn Barker,81381706,marilyn.barker@my.uwi.edu,,,100.00,Yes,-,
Participant 601685,Cory Chin Pan Tan,81383385,cory chin pan.tan@my.uwi.edu,,,100.00,Yes,"Friday, 27 November 2020, 7:43 PM",
Participant 601726,Leah Todd,81385002,leah.todd@my.uwi.edu,,,100.00,Yes,"Thursday, 26 November 2020, 11:38 PM",
Participant 601731,Melvin Patterson,81387089,melvin.patterson@my.uwi.edu,,,100.00,Yes,"Wednesday, 25 November 2020, 11:34 PM",
Participant 601676,Frederick Wood,81388358,frederick.wood@my.uwi.edu,,,100.00,Yes,"Thursday, 3 December 2020, 12:48 PM",
Participant 601737,Janie Underwood,81391665,janie.underwood@my.uwi.edu,,,100.00,Yes,"Thursday, 3 December 2020, 12:51 PM",
Participant 601715,Muriel O’Poole,81393232,muriel.opoole@my.uwi.edu,,,100.00,Yes,"Wednesday, 2 December 2020, 7:56 PM",
Participant 601727,Anna Horton,81393384,anna.horton@my.uwi.edu,,,100.00,Yes,"Monday, 4 January 2021, 1:13 AM",
,,,,,,100.00,Yes,"Thursday, 3 December 2020, 10:14 PM",
